pid,condition,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
151,1,actionfeedback,2020-09-30 23:08:36.533275,2020-09-30 23:14:31.213777,2020-09-30 23:19:03.356321,10.3,0,College degree,No,42,Female,-,-,,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[5, 15, 0, -25, 20, -5, -5, -15, 5, 5]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.481, 3.943, 5.461, 5.361, 4.563, 5.597, 5.566, 5.082, 5.27, 5.33]"
152,1,actionfeedback,2020-09-30 23:12:32.486471,2020-09-30 23:16:51.69751,2020-09-30 23:22:06.105816,9.2,0,High school graduate,No,40,Female,-,-,,0,4,"[8, 3, 5, 5, 2, 5, 5, 8, 2, 1]","[7, 7, 5, 0, 18, 0, 0, 2, 8, 9]",56.0,5.6,"[-3, 7, 20, -15, 23, 0, -15, -23, 28, 9]",0.2158,"[0.333, 0.0, 0.333, 0.113, 0.0, 0.222, 0.234, 0.273, 0.4, 0.25]","[0, 2.0, 0, 3.814, 2.0, 4.0, 3.538, 3.0, 3.0, 3.0]"
153,1,actionfeedback,2020-09-30 23:18:27.483395,2020-09-30 23:22:26.989714,2020-09-30 23:27:33.565943,8.9,0,High school graduate,No,39,female,-,-,None thank you,1,4,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[-1, 4, 4, 4, 9, 0, 9, 9, -1, 9]",46.0,4.6,"[-26, 9, 9, 4, 4, -30, 19, 14, -6, 9]",0.2474,"[0.143, 0.2, 0.181, 0.2, 0.25, 0.0, 0.5, 0.5, 0.0, 0.5]","[6.0, 4.0, 4.514, 4.0, 3.0, 4.964, 0, 0, 5.623, 0]"
154,1,actionfeedback,2020-09-30 23:19:11.439444,2020-09-30 23:23:53.209861,2020-09-30 23:27:28.329984,8.0,0,College degree,Yes,27,male,-,-,,0,4,"[11, 12, 11, 12, 12, 7, 6, 6, 5, 6]","[14, -22, 19, -7, -2, 13, 14, 14, 10, -11]",42.0,4.2,"[14, -22, 19, -7, -2, 3, 24, 4, 20, -1]",0.2856,"[0.25, 0.308, 0.5, 0.154, 0.308, 0.091, 0.091, 0.333, 0.25, 0.571]","[0, 0, 0, 0, 0, 4.0, 5.0, 3.0, 3.0, 0]"
155,1,actionfeedback,2020-09-30 23:12:01.349815,2020-09-30 23:24:38.709089,2020-09-30 23:28:14.944768,15.9,0,High school graduate,No,28,male,-,-,,0,4,"[1, 2, 1, 1, 3, 2, 2, 3, 3, 3]","[4, -2, 9, 9, 7, -2, 3, 7, 2, 2]",39.0,3.9,"[14, 18, 24, -1, 7, 3, 3, -13, 17, -3]",0.2901,"[0.333, 0.4, 0.25, 0.25, 0.11, 0.286, 0.5, 0.286, 0.286, 0.2]","[2.0, 3.0, 3.0, 3.0, 6.086, 5.0, 2.0, 4.0, 4.0, 2.0]"
156,1,actionfeedback,2020-09-30 23:13:25.398493,2020-09-30 23:25:08.011849,2020-09-30 23:28:32.888253,15.0,0,College degree,No,27,Female,-,-,,8,4,"[0, 0, 0, 0, 0, 3, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 2, 8, 0, 0, 0]",10.0,1.0,"[10, 5, 20, -10, 0, -3, 8, 10, -15, 20]",0.08,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.4, 0.0, 0.0, 0.0]","[5.656, 6.181, 5.25, 5.377, 4.49, 2.0, 3.0, 4.416, 5.5, 4.077]"
157,1,actionfeedback,2020-09-30 23:23:58.496768,2020-09-30 23:28:21.609723,2020-09-30 23:31:38.99531,7.5,0,High school graduate,No,28,"Male
",-,-,,2,4,"[10, 0, 5, 10, 10, 11, 3, 3, 0, 6]","[5, 0, 5, -10, -20, -1, -3, 2, 0, 24]",2.0,0.2,"[5, -20, 5, -5, -20, -1, 7, 17, -5, 24]",0.3344,"[0.08, 0.0, 0.833, 0.273, 0.455, 0.417, 0.429, 0.286, 0.0, 0.571]","[2.483, 4.618, 0, 0, 0, 0, 4.0, 4.0, 6.129, 0]"
158,1,actionfeedback,2020-09-30 23:27:55.688023,2020-09-30 23:30:51.383771,2020-09-30 23:34:08.112959,6.1,0,High school graduate,No,24,Female,-,-,"Interesting and fun survey, thanks!",0,4,"[1, 3, 1, 1, 1, 8, 5, 1, 9, 2]","[9, 7, 9, 9, 4, -13, 0, 9, 1, 8]",43.0,4.3,"[4, 22, -6, 14, -1, -13, 5, -6, 1, -7]",0.4234,"[0.5, 0.25, 0.5, 0.25, 0.181, 0.778, 0.625, 0.25, 0.5, 0.4]","[0, 0, 0, 3.0, 4.517, 0, 3.0, 3.0, 0, 3.0]"
159,1,actionfeedback,2020-09-30 23:24:23.819587,2020-09-30 23:31:08.157447,2020-09-30 23:36:50.371873,12.3,0,College degree,No,51,female,-,-,,0,4,"[3, 1, 1, 1, 2, 7, 3, 2, 2, 1]","[2, 9, 4, 4, 8, 3, 2, 3, 8, 9]",52.0,5.2,"[17, 24, 4, 19, 3, 23, 2, -2, -12, 9]",0.2459,"[0.154, 0.25, 0.333, 0.0, 0.667, 0.222, 0.0, 0.0, 0.333, 0.5]","[3.49, 3.0, 2.0, 3.476, 0, 2.0, 3.708, 5.236, 0, 0]"
160,1,actionfeedback,2020-09-30 23:26:59.43174,2020-09-30 23:31:40.22758,2020-09-30 23:34:35.721356,7.5,0,College degree,No,28,male,-,-,,0,4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[4, -1, -1, -1, -1, -1, 4, -1, -1, 4]",5.0,0.5,"[4, 4, -6, -11, -11, 24, 24, 4, 4, 4]",0.1842,"[0.333, 0.167, 0.154, 0.174, 0.127, 0.167, 0.2, 0.182, 0.138, 0.2]","[2.0, 5.005, 5.488, 4.75, 6.866, 4.999, 4.0, 4.509, 6.24, 4.0]"
161,1,actionfeedback,2020-09-30 23:06:05.103414,2020-09-30 23:14:45.249453,2020-09-30 23:18:27.740192,11.1,0,College degree,No,34,Female,-,-,Fun.,0,4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[4, 4, -1, -1, -1, -1, 9, -1, 9, 4]",25.0,2.5,"[-1, 4, -1, 9, -11, 9, 24, -11, -6, 19]",0.227,"[0.333, 0.138, 0.25, 0.2, 0.174, 0.182, 0.25, 0.16, 0.25, 0.333]","[2.0, 6.254, 3.0, 4.0, 4.747, 4.491, 3.0, 5.268, 3.0, 2.0]"
162,1,actionfeedback,2020-09-30 22:16:52.045835,2020-09-30 22:22:48.976067,2020-09-30 22:26:36.202571,9.6,0,High school graduate,No, 57,female,-,-,,0,3,"[6, 12, 6, 7, 5, 3, 5, 6, 1, 9]","[4, -7, -1, 3, 5, 7, 5, 9, 9, 1]",35.0,3.5,"[4, -7, 4, 8, 15, -3, 0, 4, 24, -4]",0.2033,"[0.143, 0.231, 0.0, 0.25, 0.167, 0.25, 0.167, 0.143, 0.5, 0.182]","[0, 0, 2.509, 0, 0, 0, 0, 0, 0, 2.0]"
