pid,condition,conditionType,status,totalTime,attemptsQuiz1,gender,age,MLcheatTrials,RTscores,RTscoresMean,ML_pa_mean,ML_pa_complete,RT_pa_mean,RT_pa_complete,RT_et_complete,RT_pa_meanFH,RT_pa_meanFT
39,0,control,4,23.7,2,woman,22,0,"[315, 230, 265, 495, 545, 475, 200, 480]",375.625,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
40,0,control,4,25.4,3,female,36,0,"[505, 420, 245, 485, 595, 385, 340, 370]",418.125,,[],0.0625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
41,0,control,4,27.2,2,Female,26,0,"[200, 530, 205, 465, 340, 355, 505, 255]",356.875,,[],0.125,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,0.0
42,0,control,4,19.4,3,Male,32,0,"[440, 210, 285, 365, 250, 200, 275, 585]",326.25,,[],0.875,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.0
43,0,control,4,106.7,2,Female,26,0,"[300, 290, 315, 210, 245, 235, 215, 335]",268.125,,[],0.5104,"[0.0, 0.5, 1.0, 0.5, 0.3333333333333333, 0.5, 0.75, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5,0.0
44,0,control,4,14.1,2,Male,23,0,"[350, 455, 195, 330, 180, 445, 345, 205]",313.125,,[],0.6667,"[0.3333333333333333, 0.0, 1.0, 1.0, 1.0, 0.5, 1.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5833,0.3333
45,0,control,4,13.6,2,Female,35,0,"[385, 425, 555, 470, 265, 275, 395, 625]",424.375,,[],0.625,"[0.0, 0.5, 0.0, 0.5, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,0.0
46,0,control,6,,5,-,-,0,[],,,[],,[],[],,
47,0,control,6,,0,-,-,0,[],,,[],,[],[],,
48,0,control,6,,0,-,-,0,[],,,[],,[],[],,
49,0,control,6,,1,-,-,0,[],,,[],,[],[],,
50,0,control,6,,2,-,-,0,"[550, 405]",477.5,,[],0.0,"[0.0, 0.0]","[0, 0]",0.0,0.0
51,0,control,6,,1,-,-,0,[],,,[],,[],[],,
52,0,control,6,,0,-,-,0,[],,,[],,[],[],,
53,0,control,6,,0,-,-,0,[],,,[],,[],[],,
54,0,control,6,,0,-,-,0,[],,,[],,[],[],,
55,0,control,6,,0,-,-,0,[],,,[],,[],[],,
56,0,control,6,,1,-,-,0,[],,,[],,[],[],,
57,0,control,6,,0,-,-,0,[],,,[],,[],[],,
58,0,control,6,,3,-,-,0,[],,,[],,[],[],,
