pid,trial,task,numberClicks,clicks,score,FSQ,CA,status,dropoutIndex,condition,conditionType,age,gender,naive,feedback,totalTime,firstBlock,exclusion,RT_attemptsQuiz,MG_attemptsQuiz
14,6,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,60,female,False,,18.3,mortgage,True,1,1
14,7,mortgage,3,"[1, 5, 8]",0,0.6666666666666666,0.6666666666666666,3,5,0,control,60,female,False,,18.3,mortgage,True,1,1
15,0,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,41,female,False,,10.2,mortgage,True,2,1
15,1,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,41,female,False,,10.2,mortgage,True,2,1
15,2,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,41,female,False,,10.2,mortgage,True,2,1
15,3,mortgage,3,"[8, 5, 2]",1,1.0,1.0,3,5,0,control,41,female,False,,10.2,mortgage,True,2,1
15,4,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,41,female,False,,10.2,mortgage,True,2,1
15,5,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,41,female,False,,10.2,mortgage,True,2,1
15,6,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,41,female,False,,10.2,mortgage,True,2,1
15,7,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,41,female,False,,10.2,mortgage,True,2,1
16,0,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,27,female,False,,12.4,mortgage,True,1,1
16,1,mortgage,3,"[1, 4, 7]",0,0.0,0.0,3,5,0,control,27,female,False,,12.4,mortgage,True,1,1
16,2,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,27,female,False,,12.4,mortgage,True,1,1
16,3,mortgage,3,"[0, 4, 7]",0,0.0,0.0,3,5,0,control,27,female,False,,12.4,mortgage,True,1,1
16,4,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,27,female,False,,12.4,mortgage,True,1,1
16,5,mortgage,3,"[2, 4, 7]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,27,female,False,,12.4,mortgage,True,1,1
16,6,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,27,female,False,,12.4,mortgage,True,1,1
16,7,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,27,female,False,,12.4,mortgage,True,1,1
17,0,mortgage,3,"[1, 5, 7]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,20,female,False,,12.7,mortgage,True,2,1
17,1,mortgage,3,"[2, 7, 5]",0,0.6666666666666666,0.6666666666666666,3,5,0,control,20,female,False,,12.7,mortgage,True,2,1
17,2,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,20,female,False,,12.7,mortgage,True,2,1
17,3,mortgage,3,"[1, 5, 7]",1,0.3333333333333333,0.3333333333333333,3,5,0,control,20,female,False,,12.7,mortgage,True,2,1
17,4,mortgage,3,"[2, 3, 8]",0,0.6666666666666666,0.6666666666666666,3,5,0,control,20,female,False,,12.7,mortgage,True,2,1
17,5,mortgage,3,"[1, 5, 7]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,20,female,False,,12.7,mortgage,True,2,1
