pid,condition,conditionType,status,sanityFail,totalTime,gender,age,mortgagePrompt,pref0_3,pref0_6,pref6_9,pref6_12,idf0_3_hyp,idf0_6_hyp,idf6_9_hyp,idf6_12_hyp,PB3_hyp,PB6_hyp,idf0_3_exp,idf0_6_exp,idf6_9_exp,idf6_12_exp,PB3_exp,PB6_exp,numPB,MLcheatTrials,MLclicksNumber,trainingTrials
33,0,no-training,4,0,10.4,male,39,"{'Q0': 'growth life', 'Q1': 'future care'}","[1, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 1, 1, 1]","[1, 1, 0, 0, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 1, 1, 1, 0, 0]",1.0,1.1666666666666667,296.1851851854079,333.25000000018474,0,0,0.6299605249474366,0.7071067811865476,0.7211247851537042,0.7071067811865476,1,0,19,0,0,[]
34,0,no-training,4,0,9.5,Male.,23.,"{'Q0': 'The one with the lowest overall interest rate', 'Q1': 'I would calculate which mortgage charges the least interest'}","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",0.047619047619047616,0.038461538461538464,0.14285714285714285,0.08333333333333333,0,0,0.9564655913861946,0.9659853980285168,0.933127789204312,0.9531842929969365,0,0,12,0,0,[]
35,0,no-training,4,0,8.3,Male,24,"{'Q0': 'I would do the math to ensure the best overall rate.', 'Q1': 'I would choose hichever rate would have me paying the least amount in total over the entire duration.'}","[1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0]",0.022222222222222223,0.023809523809523808,0.0,0.027777777777777776,1,0,0.9787169102922159,0.9779905885979653,1.0,0.9779905885979653,1,0,5,0,0,[]
36,0,no-training,4,0,8.7,Female,35,"{'Q0': 'The loan that has the lowest interest rate for the 19 years.', 'Q1': 'The one that, in the end, helps save me money.'}","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]",0.047619047619047616,0.05555555555555555,0.06666666666666667,0.027777777777777776,0,1,0.9564655913861946,0.9531842929969365,0.9564655913861946,0.9779905885979653,0,1,10,0,0,[]
37,0,no-training,4,0,11.5,female,41,"{'Q0': 'I would calculate out which one would save me the most money over time', 'Q1': 'the one that will save me the most money would be best'}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",0.0,0.023809523809523808,0.0,0.08333333333333333,0,0,1.0,0.9779905885979653,1.0,0.9531842929969365,0,0,6,0,0,[]
38,0,no-training,4,0,15.2,Female,32,"{'Q0': 'I would choose the mortgage loan that has the best rate over the longest period of time.', 'Q1': 'The mortgage with the best rate over a 19 year period, assuming the mortgage will be held for that long, will be the one that will save the most money in the long term.'}","[1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]",0.022222222222222223,0.1,0.14285714285714285,0.05,0,1,0.9787169102922159,0.9246555971486619,0.933127789204312,0.9659853980285168,0,1,12,0,0,[]
39,0,no-training,4,0,9.1,Female,40,"{'Q0': 'I would choose the mortgage over 19 years, it would allow me to see a better picture of the life of the loan.', 'Q1': 'Based on projections of how the loan will be over a long period of time.'}","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",0.1111111111111111,0.05555555555555555,0.3333333333333333,0.08333333333333333,0,0,0.9085602964160698,0.9531842929969365,0.9085602964160698,0.9531842929969365,0,0,16,0,0,[]
40,0,no-training,4,1,13.6,Male,53,"{'Q0': ""I'd work out the total cost of the loan over the full 20 years for each mortagage, and choose the one with the lowest. There'd also be concerns as to how much I could afford to pay in interest in the early stages of the loans, too. "", 'Q1': 'On the basis of cost over the full term. '}","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 0]",0.07692307692307693,0.2777777777777778,0.06666666666666667,0.011904761904761904,1,1,0.933127789204312,0.8491906647824764,0.9564655913861946,0.9893012232339632,1,1,8,0,0,[]
41,0,no-training,4,0,8.1,Male,29,"{'Q0': 'I would research the terms and figure out which would cause me to pay the least over time.', 'Q1': 'The one that had the best terms and cost the least over time was chosen.'}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,[]
42,0,no-training,4,0,9.2,Male,23,"{'Q0': 'I would choose the one that is cheapest and best suited for myself.', 'Q1': 'I would decide after evaluating each option for which one is best for myself.'}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.06666666666666667,0.0,0,0,1.0,1.0,0.9564655913861946,1.0,0,0,2,0,0,[]
43,0,no-training,4,0,8.3,Male,26,"{'Q0': 'Who has the lowest overall APR, taking into consideration the differences in the parts of the mortgage.', 'Q1': 'The lowest average APR, taking the time differences into account.'}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",0.0,0.038461538461538464,0.3333333333333333,0.08333333333333333,0,0,1.0,0.9659853980285168,0.9085602964160698,0.9531842929969365,0,0,10,0,0,[]
44,0,no-training,4,0,8.8,Male,23,"{'Q0': 'I would try to select the mortgage that has the lowest interest rate over the longest period of time.', 'Q1': 'A lower interest rate should result in savings over time.'}","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0]",0.07692307692307693,0.05555555555555555,296.1851851854079,333.25000000018474,0,0,0.933127789204312,0.9531842929969365,0.7937005259840998,0.8908987181403393,0,0,19,0,0,[]
45,0,no-training,4,0,13.8,Female,30,"{'Q0': 'the next 19 years', 'Q1': 'Certainty. The one for nineteen years gives me certainty for at least 19 years.'}","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",0.2,0.1,0.3333333333333333,0.08333333333333333,0,1,0.8549879733383485,0.9246555971486619,0.9085602964160698,0.9531842929969365,1,1,18,0,0,[]
46,0,no-training,4,1,8.4,f,38,"{'Q0': ""I don't understand the explanation"", 'Q1': ""I couldn't""}","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 0]",0.047619047619047616,0.2777777777777778,0.14285714285714285,0.011904761904761904,0,1,0.9564655913861946,0.8491906647824764,0.933127789204312,0.9893012232339632,0,1,8,0,0,[]
47,0,no-training,4,0,9.1,male,30,"{'Q0': 'the first month is the best', 'Q1': ""I don't want to subject payments to economic volatility""}","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0]",0.047619047619047616,0.16666666666666666,0.14285714285714285,333.25000000018474,0,0,0.9564655913861946,0.8908987181403393,0.933127789204312,0.8908987181403393,0,0,17,0,0,[]
