pid,condition,conditionType,status,bonus,timeTracking,totalTime,attemptsQuiz1,gender,age,qConfusing,qFollowStrategy,feedback,MLcheatTrials,MLclicksNumber,RTcheatTrials,RTclicksNumber,RTclicksNumberMean,RTscores,RTscoresMean,RTscoresExp,RTscoresExpMean,prompts,ML_pa_mean,ML_pa_complete,RT_pa_mean,RT_pa_complete,RT_et_complete,RT_pa_meanFH,RT_pa_meanFT
34,0,control,4,1.48,"[7.9, 19.4]",19.8,1,female,38,no,-,One of the more enjoyable activities I've done on mTurk!,0,[],0,"[3, 6, 7, 2, 2, 4, 3, 2]",3.625,"""[320, 265, 665, 240, 225, 300, 335, 340]""",336.25,"[335, 272.5, 620, 195, 195, 330, 305, 332.5]",323.125,[],,[],0.6667,"[0.3333333333333333, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.3333,0.3333
35,0,control,4,1.79,"[9.3, 22.8]",23.0,2,female,26,no,-,,0,[],0,"[10, 4, 5, 8, 3, 3, 3, 3]",4.875,"""[375, 200, 210, 430, 220, 265, 220, 290]""",276.25,"[375, 200, 210, 430, 197.5, 257.5, 220, 305]",274.375,[],,[],0.4583,"[0.0, 0.5, 0.0, 1.0, 0.3333333333333333, 0.5, 0.3333333333333333, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.375,0.0
36,0,control,4,0.98,"[9.2, 22.3]",22.6,2,male,53,the instructions were clear,-,"that was fun, thank you for includingme",0,[],0,"[6, 6, 4, 3, 5, 2, 4, 2]",4.0,"""[520, 350, 415, 380, 425, 270, 375, 310]""",380.625,"[542.5, 350, 437.5, 365, 402.5, 382.5, 345, 332.5]",394.6875,[],,[],0.7188,"[0.0, 0.25, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5625,0.0
37,0,control,4,1.6,"[7.2, 13.8]",14.0,1,Female,27,No,-,,0,[],0,"[3, 1, 4, 3, 5, 4, 4, 3]",3.375,"""[610, 170, 315, 190, 355, 275, 260, 335]""",313.75,"[437.5, 185, 307.5, 182.5, 347.5, 282.5, 245, 342.5]",291.25,[],,[],0.7917,"[0.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5833,0.0
38,0,control,4,0.81,"[11.8, 19.6]",19.8,4,Female,29,No. Nothing was confusing,-,none,0,[],0,"[1, 2, 2, 2, 2, 2, 3, 1]",1.875,"""[385, 295, 295, 210, 570, 600, 550, 530]""",429.375,"[357.5, 375, 345, 375, 375, 397.5, 392.5, 357.5]",371.875,[],,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
39,0,control,4,1.04,"[11.3, 23.5]",23.7,2,woman,22,no,-,it was fun,0,[],0,"[4, 7, 9, 9, 7, 7, 4, 6]",6.625,"""[315, 230, 265, 495, 545, 475, 200, 480]""",375.625,"[372.5, 230, 265, 495, 545, 497.5, 372.5, 480]",407.1875,[],,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
40,0,control,4,0.76,"[10.8, 25.1]",25.4,3,female,36,no,-,,0,[],0,"[3, 6, 7, 4, 6, 9, 8, 8]",6.375,"""[505, 420, 245, 485, 595, 385, 340, 370]""",418.125,"[355, 420, 245, 335, 572.5, 385, 340, 370]",377.8125,[],,[],0.0625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
41,0,control,4,1.18,"[16.8, 27.0]",27.2,2,Female,26,No.,-,No.,0,[],0,"[4, 4, 3, 2, 2, 1, 3, 1]",2.5,"""[200, 530, 205, 465, 340, 355, 505, 255]""",356.875,"[350, 410, 355, 532.5, 375, 350, 377.5, 312.5]",382.8125,[],,[],0.125,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,0.0
42,0,control,4,1.48,"[9.6, 19.3]",19.4,3,Male,32,The only thing that I didnt think was clear was clicking the arrows for the route.,-,,0,[],0,"[2, 2, 4, 3, 3, 1, 3, 2]",2.5,"""[440, 210, 285, 365, 250, 200, 275, 585]""",326.25,"[390, 270, 315, 320, 242.5, 185, 305, 532.5]",320.0,[],,[],0.875,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.0
43,0,control,4,1.86,"[98.9, 106.5]",106.7,2,Female,26,No,-,,0,[],0,"[4, 4, 4, 2, 4, 3, 4, 4]",3.625,"""[300, 290, 315, 210, 245, 235, 215, 335]""",268.125,"[372.5, 267.5, 292.5, 210, 222.5, 235, 192.5, 282.5]",259.375,[],,[],0.5104,"[0.0, 0.5, 1.0, 0.5, 0.3333333333333333, 0.5, 0.75, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5,0.0
