pid,condition,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
111,1,control,2020-02-23 18:37:22.81096,2020-02-23 18:42:14.458355,2020-02-23 18:45:41.846388,499,1,High school graduate,Yes,38,Male,-,-,,4,4,"[0, 0, 0, 0, 12, 3, 3, 3, 3, 4]","[0, 0, 0, 0, 10, 29, 47, 35, 41, 26]",188.0,18.8,"[-18, -18, 34, 60, 10, 29, 47, 35, 41, 26]",0.2601,"[0.0, 0.0, 0.0, 0.0, 0.692, 0.142, 0.5, 0.5, 0.5, 0.267]","[4.506, 4.508, 4.485, 3.374, 0, 4.042, 0, 0, 0, 3.497]"
112,1,control,2020-02-23 18:27:48.226297,2020-02-23 18:34:27.704064,2020-02-23 18:41:08.40656,800,1,College degree,No,46,male,-,-,,0,4,"[12, 3, 9, 12, 3, 4, 3, 3, 7, 3]","[38, 27, 49, 10, 21, 32, 51, 15, 17, 41]",301.0,30.1,"[38, 27, 49, 10, 21, 32, 51, 15, 17, 41]",0.3293,"[0.462, 0.077, 0.4, 0.538, 0.077, 0.298, 0.5, 0.143, 0.298, 0.5]","[0, 10.0, 0, 0, 10.0, 2.705, 0, 4.011, 3.067, 0]"
113,1,control,2020-02-23 18:28:44.940407,2020-02-23 18:32:32.811148,2020-02-23 18:35:11.255479,386,3,College degree,No,27,female,-,-,no,8,4,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 1, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,0.4,"[-13, 21, -44, -16, -38, 48, 20, 30, -22, -16]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.495, 3.294, 3.369, 3.326, 4.472, 2.771, 4.486, 4.527, 13.0, 3.362]"
114,1,control,2020-02-23 18:35:46.27415,2020-02-23 18:37:41.186264,2020-02-23 18:40:11.6566,265,1,College degree,Yes,33,male,-,-,fun,0,4,"[7, 7, 3, 5, 5, 2, 1, 6, 3, 2]","[21, 37, 45, 47, 43, 46, 47, 18, 45, 46]",395.0,39.5,"[17, 41, 37, 39, 39, 34, 49, 24, 51, 38]",0.7895,"[0.308, 0.625, 1.0, 0.5, 1.0, 1.0, 1.0, 0.462, 1.0, 1.0]","[6.0, 0, 0, 0, 0, 0, 0, 7.0, 0, 0]"
115,1,control,2020-02-23 18:25:12.287384,2020-02-23 18:28:46.162463,2020-02-23 18:31:34.718588,382,1,High school graduate,No,52 ,male,-,-,,0,4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3, -1, -1, -1, 1, -1, -1, -1, -1, 1]",-2.0,-0.2,"[-15, 11, 13, 57, 45, -61, -41, -19, -31, -31]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.321, 4.471, 4.479, 4.511, 3.368, 4.573, 3.327, 3.288, 3.294, 4.476]"
116,1,control,2020-02-23 18:25:54.986187,2020-02-23 18:29:23.954677,2020-02-23 18:32:11.179505,376,1,College degree,Yes,47,male,-,-,,0,4,"[10, 9, 10, 4, 12, 6, 11, 3, 12, 4]","[38, 43, 46, 56, 18, 46, 43, 45, 12, 56]",403.0,40.3,"[38, 43, 46, 56, 18, 46, 43, 45, 12, 56]",0.4401,"[0.308, 0.4, 0.455, 0.6, 0.538, 0.154, 0.308, 0.5, 0.538, 0.6]","[3.0, 0, 0, 0, 0, 7.0, 2.0, 0, 0, 0]"
117,1,control,2020-02-23 18:26:28.267771,2020-02-23 18:29:30.079416,2020-02-23 18:32:47.125782,378,1,High school graduate,No,46,Male,-,-,no,0,4,"[4, 7, 7, 10, 4, 1, 5, 5, 2, 3]","[32, 41, 37, 34, 44, 47, 43, 43, 46, 45]",412.0,41.2,"[32, 41, 37, 38, 38, 57, 47, 39, 40, 37]",0.6849,"[0.125, 0.25, 0.375, 0.636, 0.463, 1.0, 1.0, 1.0, 1.0, 1.0]","[3.985, 0, 0, 0, 2.481, 0, 0, 0, 0, 0]"
118,1,control,2020-02-23 18:26:20.817676,2020-02-23 18:29:47.246438,2020-02-23 18:32:53.771018,392,1,High school graduate,No,45,male,-,-,fun experiment,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[48, -22, 22, 22, -34, -30, -22, 54, 24, 28]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.307, 13.0, 4.456, 13.0, 3.337, 3.322, 13.0, 4.458, 4.533, 4.414]"
119,1,control,2020-02-23 18:51:56.05726,2020-02-23 18:55:28.340198,2020-02-23 18:59:52.962315,476,1,High school graduate,No,22,Male,-,-,I really enjoyed this! Definitely my favorite HIT I've done.,0,4,"[5, 12, 12, 11, 10, 8, 12, 9, 12, 8]","[49, 40, 36, 27, 40, 46, 26, 45, 14, 46]",369.0,36.9,"[49, 40, 36, 27, 40, 46, 26, 45, 14, 46]",0.5028,"[0.333, 0.462, 0.462, 0.462, 0.462, 0.462, 0.692, 0.462, 0.923, 0.308]","[0, 0, 0, 2.0, 3.0, 5.0, 0, 4.0, 0, 5.0]"
120,1,control,2020-02-23 18:26:42.111574,2020-02-23 18:30:18.940111,2020-02-23 18:33:20.673578,398,1,College degree,No,53,Male,-,-,No.,0,4,"[1, 2, 6, 3, 6, 4, 6, 5, 1, 2]","[47, 46, 18, 45, 18, 44, 18, 43, 47, 46]",372.0,37.2,"[47, 46, 6, 41, 16, 50, 14, 33, 57, 54]",0.8386,"[1.0, 1.0, 0.462, 1.0, 0.462, 1.0, 0.462, 1.0, 1.0, 1.0]","[0, 0, 7.0, 0, 7.0, 0, 7.0, 0, 0, 0]"
121,1,control,2020-02-23 18:26:04.769893,2020-02-23 18:30:17.080508,2020-02-23 18:33:26.533888,441,1,College degree,No,38,Female,-,-,Very fun!  Thank you!,0,4,"[7, 7, 9, 9, 6, 6, 4, 3, 11, 6]","[29, 23, 47, 35, 42, 18, 44, 45, 15, 18]",316.0,31.6,"[29, 23, 47, 31, 32, 16, 34, 39, 15, 24]",0.5599,"[0.154, 0.19, 0.5, 0.6, 0.385, 0.462, 1.0, 1.0, 0.846, 0.462]","[6.0, 3.52, 0, 0, 7.0, 7.0, 0, 0, 2.0, 7.0]"
